method,stress_level,seeds,mean_success,ci95_success,mean_shape_error,ci95_shape_error,mean_memory_error,ci95_memory_error,mean_memory_calibration_error,ci95_memory_calibration_error,mean_mechanism_macro_f1,ci95_mechanism_macro_f1,mean_tail_risk,ci95_tail_risk,mean_damage_rate,ci95_damage_rate,mean_force_clip_rate,ci95_force_clip_rate,mean_contact_rate,ci95_contact_rate,mean_diagnostic_rate,ci95_diagnostic_rate
action_conditioned_memory,0.00,8,0.33333,0.05820,0.14517,0.00245,0.15188,0.04508,0.04899,0.02583,0.54688,0.04483,0.66667,0.05820,0.34722,0.07630,0.00116,0.00095,0.18333,0.04163,0.79167,0.10442
action_conditioned_memory,0.17,8,0.31944,0.07630,0.14282,0.00250,0.11910,0.02219,0.03068,0.01486,0.57812,0.06445,0.68056,0.07630,0.34722,0.08670,0.00579,0.00082,0.21782,0.05405,0.91667,0.05444
action_conditioned_memory,0.33,8,0.43055,0.06426,0.14104,0.00228,0.15110,0.01803,0.03182,0.01682,0.53125,0.04010,0.56945,0.06426,0.41667,0.06825,0.00903,0.00199,0.24120,0.05019,0.91667,0.05444
action_conditioned_memory,0.50,8,0.47222,0.07970,0.13724,0.00410,0.15178,0.02477,0.03623,0.02434,0.54688,0.06445,0.52778,0.07970,0.43055,0.06426,0.01945,0.00153,0.25579,0.06148,0.97222,0.03564
action_conditioned_memory,0.67,8,0.37500,0.14220,0.13609,0.00331,0.20663,0.04212,0.09096,0.03620,0.53125,0.07678,0.62500,0.14220,0.55556,0.16463,0.02454,0.00178,0.35972,0.07518,0.91667,0.06825
action_conditioned_memory,0.83,8,0.36111,0.06825,0.13853,0.00278,0.22771,0.03929,0.09459,0.04021,0.51562,0.07229,0.63889,0.06825,0.59723,0.07054,0.03681,0.00232,0.37755,0.03678,0.95833,0.05729
action_conditioned_memory,1.00,8,0.41667,0.15261,0.13587,0.00403,0.30971,0.06449,0.16824,0.06498,0.62500,0.06548,0.58333,0.15261,0.54167,0.17186,0.04954,0.00264,0.35440,0.08039,0.97222,0.03564
action_conditioned_memory_v5,0.00,8,0.33333,0.10081,0.14219,0.00416,0.14400,0.04397,0.04852,0.02117,0.59375,0.06125,0.66667,0.10081,0.26389,0.09145,0.00741,0.00153,0.04375,0.03198,0.00000,0.00000
action_conditioned_memory_v5,0.17,8,0.33333,0.08231,0.14565,0.00347,0.11905,0.02062,0.02626,0.01519,0.60156,0.03222,0.66667,0.08231,0.25000,0.06825,0.01065,0.00091,0.05232,0.02926,0.00000,0.00000
action_conditioned_memory_v5,0.33,8,0.38889,0.05820,0.14347,0.00307,0.15315,0.02127,0.03208,0.01007,0.56250,0.08020,0.61111,0.05820,0.25000,0.09869,0.01459,0.00199,0.07569,0.04891,0.00000,0.00000
action_conditioned_memory_v5,0.50,8,0.56944,0.07631,0.14195,0.00419,0.16059,0.03016,0.03604,0.01860,0.55469,0.05398,0.43056,0.07631,0.25000,0.07970,0.02199,0.00269,0.08218,0.05162,0.00000,0.00000
action_conditioned_memory_v5,0.67,8,0.55556,0.13650,0.14171,0.00244,0.22730,0.04263,0.07723,0.03360,0.50000,0.06548,0.44444,0.13650,0.26389,0.08167,0.02431,0.00339,0.19907,0.05922,0.00000,0.00000
action_conditioned_memory_v5,0.83,8,0.56945,0.07631,0.13939,0.00309,0.25357,0.03592,0.07715,0.04517,0.51562,0.07229,0.43055,0.07631,0.29166,0.07054,0.02662,0.00375,0.20717,0.05154,0.00000,0.00000
action_conditioned_memory_v5,1.00,8,0.58333,0.18290,0.13836,0.00361,0.33727,0.06402,0.16385,0.05340,0.60938,0.09753,0.41667,0.18290,0.33333,0.17940,0.03657,0.00489,0.20694,0.10080,0.00000,0.00000
damage_aware_visible_mpc,0.00,8,0.40277,0.03985,0.14076,0.00239,0.13800,0.00398,0.21965,0.00723,0.60938,0.03062,0.59723,0.03985,0.26389,0.03985,0.00834,0.00168,0.01667,0.01267,0.00000,0.00000
damage_aware_visible_mpc,0.17,8,0.41666,0.06825,0.14257,0.00315,0.23260,0.00532,0.12837,0.00434,0.60938,0.03062,0.58334,0.06825,0.25000,0.03564,0.01088,0.00082,0.04444,0.02873,0.00000,0.00000
damage_aware_visible_mpc,0.33,8,0.48611,0.03985,0.14054,0.00242,0.34129,0.01316,0.02492,0.01177,0.56250,0.06548,0.51389,0.03985,0.25000,0.03564,0.01644,0.00082,0.04236,0.02947,0.00000,0.00000
damage_aware_visible_mpc,0.50,8,0.66667,0.10889,0.13889,0.00407,0.43061,0.01401,0.06554,0.01396,0.54688,0.06445,0.33333,0.10889,0.20833,0.06425,0.02384,0.00145,0.04329,0.01719,0.00000,0.00000
damage_aware_visible_mpc,0.67,8,0.76389,0.08670,0.13972,0.00160,0.53406,0.01840,0.15422,0.01912,0.54688,0.10288,0.23611,0.08670,0.13889,0.06825,0.02963,0.00168,0.07870,0.02831,0.00000,0.00000
damage_aware_visible_mpc,0.83,8,0.62500,0.05729,0.14643,0.00241,0.63311,0.00808,0.25202,0.00834,0.43750,0.06548,0.37500,0.05729,0.26389,0.05729,0.03588,0.00153,0.14143,0.02832,0.00000,0.00000
damage_aware_visible_mpc,1.00,8,0.65278,0.12643,0.14591,0.00346,0.71080,0.01861,0.32353,0.01466,0.56250,0.12250,0.34722,0.12643,0.23611,0.13919,0.04607,0.00187,0.13356,0.06442,0.00000,0.00000
ensemble_uncertainty_planner,0.00,8,0.31944,0.04934,0.14505,0.00201,0.16325,0.04847,0.07816,0.03935,0.54688,0.04483,0.68056,0.04934,0.34722,0.07630,0.00231,0.00091,0.16458,0.03973,0.75000,0.08970
ensemble_uncertainty_planner,0.17,8,0.27777,0.07128,0.14342,0.00267,0.12369,0.02676,0.03986,0.02768,0.54688,0.04483,0.72223,0.07128,0.36111,0.07970,0.00556,0.00097,0.22315,0.05329,0.86111,0.09869
ensemble_uncertainty_planner,0.33,8,0.40278,0.05729,0.14155,0.00233,0.15839,0.01348,0.07445,0.01357,0.53125,0.06125,0.59723,0.05729,0.40278,0.07054,0.00880,0.00214,0.23241,0.06182,0.87500,0.08670
ensemble_uncertainty_planner,0.50,8,0.48611,0.07054,0.13720,0.00415,0.14864,0.02100,0.06573,0.02097,0.53125,0.07678,0.51389,0.07054,0.41666,0.05445,0.01968,0.00136,0.24421,0.05835,0.94444,0.05820
ensemble_uncertainty_planner,0.67,8,0.37500,0.12974,0.13619,0.00295,0.18688,0.03723,0.10385,0.03729,0.54688,0.06445,0.62500,0.12974,0.55556,0.14839,0.02454,0.00150,0.35810,0.05867,0.91667,0.05444
ensemble_uncertainty_planner,0.83,8,0.34722,0.06426,0.13800,0.00348,0.20786,0.04648,0.11744,0.04433,0.54688,0.06445,0.65278,0.06426,0.61111,0.07129,0.03634,0.00265,0.38657,0.04106,0.98611,0.02722
ensemble_uncertainty_planner,1.00,8,0.38889,0.16463,0.13583,0.00402,0.28202,0.05921,0.18861,0.05844,0.62500,0.06548,0.61111,0.16463,0.56944,0.18606,0.04931,0.00282,0.36181,0.08898,0.95833,0.03985
oracle_latent_state,0.00,8,0.70834,0.08167,0.12357,0.00397,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.29166,0.08167,0.00000,0.00000,0.00139,0.00114,0.03079,0.01503,0.00000,0.00000
oracle_latent_state,0.17,8,0.79167,0.08670,0.12603,0.00240,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.20833,0.08670,0.01389,0.02722,0.00301,0.00136,0.06736,0.03418,0.00000,0.00000
oracle_latent_state,0.33,8,0.88889,0.05820,0.12652,0.00223,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.11111,0.05820,0.01389,0.02722,0.00648,0.00247,0.05741,0.02876,0.01389,0.02722
oracle_latent_state,0.50,8,0.90278,0.04934,0.12468,0.00389,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.09722,0.04934,0.02778,0.03564,0.01111,0.00238,0.06088,0.01948,0.00000,0.00000
oracle_latent_state,0.67,8,0.93056,0.08167,0.12720,0.00349,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.06944,0.08167,0.01389,0.02722,0.01644,0.00408,0.10000,0.03064,0.00000,0.00000
oracle_latent_state,0.83,8,0.79167,0.06425,0.13381,0.00503,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.20833,0.06425,0.08333,0.06825,0.02384,0.00278,0.14884,0.04229,0.02778,0.03564
oracle_latent_state,1.00,8,0.81945,0.13611,0.13166,0.00638,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.18055,0.13611,0.08333,0.07970,0.03287,0.00535,0.14074,0.06723,0.02778,0.03564
particle_filter_memory,0.00,8,0.29166,0.05729,0.14587,0.00231,0.17227,0.04601,0.08724,0.04343,0.51562,0.03062,0.70834,0.05729,0.38889,0.05820,0.00046,0.00059,0.20972,0.03046,0.88889,0.05820
particle_filter_memory,0.17,8,0.27777,0.07128,0.14287,0.00251,0.12376,0.02695,0.13209,0.03143,0.54688,0.04483,0.72223,0.07128,0.38889,0.05820,0.00510,0.00060,0.25555,0.04142,1.00000,0.00000
particle_filter_memory,0.33,8,0.38889,0.07129,0.14130,0.00229,0.15403,0.01282,0.14881,0.03277,0.54688,0.04483,0.61111,0.07129,0.44444,0.05821,0.00880,0.00214,0.26713,0.05501,0.98611,0.02722
particle_filter_memory,0.50,8,0.47222,0.07970,0.13705,0.00407,0.15626,0.02107,0.18271,0.03486,0.56250,0.04630,0.52778,0.07970,0.43055,0.06426,0.01968,0.00136,0.25579,0.06148,1.00000,0.00000
particle_filter_memory,0.67,8,0.33333,0.14839,0.13527,0.00324,0.17836,0.03801,0.17833,0.03687,0.60938,0.08584,0.66667,0.14839,0.62500,0.16430,0.02407,0.00206,0.39560,0.06759,0.98611,0.02722
particle_filter_memory,0.83,8,0.36111,0.06825,0.13808,0.00356,0.19419,0.04012,0.20262,0.07613,0.54688,0.06445,0.63889,0.06825,0.59722,0.08167,0.03657,0.00235,0.38426,0.04170,0.97222,0.03564
particle_filter_memory,1.00,8,0.38889,0.16969,0.13546,0.00433,0.27549,0.05424,0.14975,0.09037,0.62500,0.06548,0.61111,0.16969,0.56944,0.18606,0.04884,0.00336,0.38009,0.08727,0.95833,0.03985
safety_constrained_particle_filter,0.00,8,0.33333,0.08231,0.14323,0.00400,0.14029,0.03948,0.05793,0.03945,0.57812,0.04483,0.66667,0.08231,0.29166,0.03985,0.00810,0.00167,0.03495,0.02460,0.02778,0.03564
safety_constrained_particle_filter,0.17,8,0.30555,0.06825,0.14664,0.00294,0.12279,0.01756,0.06963,0.02292,0.58594,0.03968,0.69445,0.06825,0.27777,0.05820,0.00995,0.00118,0.08681,0.03885,0.12500,0.07630
safety_constrained_particle_filter,0.33,8,0.37500,0.07054,0.14465,0.00302,0.15887,0.02416,0.06988,0.04025,0.51562,0.05551,0.62500,0.07054,0.29166,0.10028,0.01320,0.00187,0.09931,0.04871,0.25000,0.06825
safety_constrained_particle_filter,0.50,8,0.52778,0.07970,0.14165,0.00396,0.17526,0.03377,0.08706,0.03672,0.50000,0.06548,0.47222,0.07970,0.27777,0.07128,0.02106,0.00265,0.13380,0.05096,0.34722,0.09597
safety_constrained_particle_filter,0.67,8,0.54167,0.08670,0.14307,0.00269,0.25238,0.04366,0.05145,0.02538,0.43750,0.04630,0.45833,0.08670,0.27777,0.08231,0.02593,0.00299,0.19421,0.07065,0.38889,0.13015
safety_constrained_particle_filter,0.83,8,0.45833,0.09597,0.14027,0.00338,0.28026,0.03182,0.06817,0.03133,0.48438,0.07229,0.54167,0.09597,0.41667,0.12174,0.03264,0.00336,0.30093,0.04448,0.50000,0.12347
safety_constrained_particle_filter,1.00,8,0.50000,0.18406,0.14150,0.00434,0.36839,0.06179,0.11167,0.05318,0.51562,0.08584,0.50000,0.18406,0.38889,0.20986,0.04537,0.00194,0.23819,0.08662,0.44444,0.08231
visible_state_mpc,0.00,8,0.40277,0.03985,0.14076,0.00239,0.13800,0.00398,0.21965,0.00723,0.60938,0.03062,0.59723,0.03985,0.26389,0.03985,0.00834,0.00168,0.01667,0.01267,0.00000,0.00000
visible_state_mpc,0.17,8,0.41666,0.06825,0.14257,0.00315,0.23260,0.00532,0.12837,0.00434,0.60938,0.03062,0.58334,0.06825,0.25000,0.03564,0.01088,0.00082,0.04444,0.02873,0.00000,0.00000
visible_state_mpc,0.33,8,0.48611,0.03985,0.14054,0.00242,0.34129,0.01316,0.02492,0.01177,0.56250,0.06548,0.51389,0.03985,0.25000,0.03564,0.01644,0.00082,0.04236,0.02947,0.00000,0.00000
visible_state_mpc,0.50,8,0.66667,0.10889,0.13889,0.00407,0.43061,0.01401,0.06554,0.01396,0.54688,0.06445,0.33333,0.10889,0.20833,0.06425,0.02384,0.00145,0.04329,0.01719,0.00000,0.00000
visible_state_mpc,0.67,8,0.76389,0.08670,0.13972,0.00160,0.53406,0.01840,0.15422,0.01912,0.54688,0.10288,0.23611,0.08670,0.13889,0.06825,0.02963,0.00168,0.07870,0.02831,0.00000,0.00000
visible_state_mpc,0.83,8,0.62500,0.05729,0.14643,0.00241,0.63311,0.00808,0.25202,0.00834,0.43750,0.06548,0.37500,0.05729,0.26389,0.05729,0.03588,0.00153,0.14143,0.02832,0.00000,0.00000
visible_state_mpc,1.00,8,0.65278,0.12643,0.14591,0.00346,0.71080,0.01861,0.32353,0.01466,0.56250,0.12250,0.34722,0.12643,0.23611,0.13919,0.04607,0.00187,0.13356,0.06442,0.00000,0.00000
